['-0.01', '+0.94', '-0.44', '-0.05', '+0.01', '+0.06', '+0.00', '+0.00']
['-0.19', '+0.60', '-0.04', '-0.63', '-0.27', '+0.06', '+0.00', '+0.00']
['-0.17', '+0.43', '+0.18', '-0.49', '-0.18', '+0.12', '+0.00', '+0.00']
['-0.13', '+0.31', '+0.28', '-0.36', '-0.06', '+0.13', '+0.00', '+0.00']
['-0.06', '+0.21', '+0.29', '-0.33', '+0.07', '+0.11', '+0.00', '+0.00']
['-0.01', '+0.13', '+0.19', '-0.27', '+0.15', '+0.04', '+0.00', '+0.00']
['+0.01', '+0.06', '+0.02', '-0.18', '+0.14', '-0.04', '+0.00', '+0.00']
['-0.00', '+0.01', '-0.10', '-0.14', '+0.06', '-0.10', '+0.00', '+0.00']
['-0.02', '-0.00', '-0.03', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.96', '+0.41', '-0.06', '+0.04', '+0.19', '+0.00', '+0.00']
['+0.14', '+0.85', '+0.43', '-0.60', '+0.19', '+0.11', '+0.00', '+0.00']
['+0.21', '+0.63', '+0.25', '-0.70', '+0.28', '+0.07', '+0.00', '+0.00']
['+0.22', '+0.46', '-0.13', '-0.47', '+0.24', '-0.11', '+0.00', '+0.00']
['+0.17', '+0.34', '-0.37', '-0.37', '+0.08', '-0.18', '+0.00', '+0.00']
['+0.09', '+0.23', '-0.38', '-0.30', '-0.09', '-0.14', '+0.00', '+0.00']
['+0.02', '+0.15', '-0.31', '-0.25', '-0.19', '-0.08', '+0.00', '+0.00']
['-0.03', '+0.08', '-0.16', '-0.20', '-0.22', '+0.01', '+0.00', '+0.00']
['-0.05', '+0.03', '-0.01', '-0.12', '-0.18', '+0.06', '+0.00', '+0.00']
['-0.04', '-0.00', '+0.05', '-0.11', '+0.02', '+0.39', '+0.00', '+1.00']
['-0.03', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.07', '+1.02', '+0.38', '+0.06', '+0.10', '+0.16', '+0.00', '+0.00']
['+0.15', '+0.95', '+0.39', '-0.48', '+0.23', '+0.11', '+0.00', '+0.00']
['+0.23', '+0.74', '+0.32', '-0.78', '+0.31', '+0.06', '+0.00', '+0.00']
['+0.26', '+0.54', '-0.01', '-0.58', '+0.30', '-0.08', '+0.00', '+0.00']
['+0.23', '+0.39', '-0.21', '-0.42', '+0.19', '-0.13', '+0.00', '+0.00']
['+0.17', '+0.29', '-0.31', '-0.29', '+0.05', '-0.14', '+0.00', '+0.00']
['+0.11', '+0.20', '-0.29', '-0.28', '-0.07', '-0.09', '+0.00', '+0.00']
['+0.06', '+0.13', '-0.20', '-0.22', '-0.14', '-0.04', '+0.00', '+0.00']
['+0.03', '+0.07', '-0.09', '-0.17', '-0.14', '+0.02', '+0.00', '+0.00']
['+0.03', '+0.03', '+0.03', '-0.12', '-0.09', '+0.04', '+0.00', '+0.00']
['+0.04', '-0.00', '+0.02', '+0.02', '+0.02', '-0.06', '+1.00', '+1.00']
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '+0.92', '-0.26', '-0.47', '+0.01', '+0.02', '+0.00', '+0.00']
['-0.05', '+0.71', '-0.21', '-0.82', '-0.08', '-0.09', '+0.00', '+0.00']
['-0.09', '+0.49', '-0.08', '-0.58', '-0.14', '-0.02', '+0.00', '+0.00']
['-0.10', '+0.33', '+0.00', '-0.45', '-0.14', '+0.03', '+0.00', '+0.00']
['-0.08', '+0.22', '+0.18', '-0.35', '-0.06', '+0.12', '+0.00', '+0.00']
['-0.03', '+0.14', '+0.23', '-0.24', '+0.05', '+0.09', '+0.00', '+0.00']
['+0.00', '+0.07', '+0.14', '-0.22', '+0.10', '+0.04', '+0.00', '+0.00']
['+0.02', '+0.02', '+0.04', '-0.15', '+0.11', '-0.02', '+0.00', '+0.00']
['+0.03', '-0.00', '+0.02', '+0.03', '-0.01', '+0.09', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.93', '+0.46', '-0.19', '-0.00', '+0.14', '+0.00', '+0.00']
['+0.14', '+0.79', '+0.47', '-0.72', '+0.16', '+0.13', '+0.00', '+0.00']
['+0.21', '+0.57', '+0.24', '-0.62', '+0.26', '+0.06', '+0.00', '+0.00']
['+0.23', '+0.42', '-0.10', '-0.44', '+0.24', '-0.09', '+0.00', '+0.00']
['+0.19', '+0.30', '-0.25', '-0.31', '+0.12', '-0.14', '+0.00', '+0.00']
['+0.13', '+0.21', '-0.29', '-0.29', '-0.01', '-0.13', '+0.00', '+0.00']
['+0.07', '+0.14', '-0.29', '-0.21', '-0.11', '-0.09', '+0.00', '+0.00']
['+0.02', '+0.08', '-0.18', '-0.18', '-0.16', '-0.02', '+0.00', '+0.00']
['+0.00', '+0.03', '-0.02', '-0.15', '-0.14', '+0.05', '+0.00', '+0.00']
['+0.01', '-0.00', '+0.00', '+0.02', '+0.01', '-0.07', '+1.00', '+1.00']
['+0.01', '-0.00', '-0.00', '+0.00', '-0.01', '+0.00', '+1.00', '+1.00']
['+0.01', '-0.00', '+0.00', '+0.00', '-0.01', '+0.00', '+1.00', '+1.00']
['+0.04', '+0.98', '+0.30', '+0.09', '+0.03', '+0.14', '+0.00', '+0.00']
['+0.10', '+0.92', '+0.30', '-0.44', '+0.16', '+0.11', '+0.00', '+0.00']
['+0.16', '+0.71', '+0.26', '-0.81', '+0.25', '+0.06', '+0.00', '+0.00']
['+0.17', '+0.51', '-0.07', '-0.58', '+0.21', '-0.08', '+0.00', '+0.00']
['+0.13', '+0.36', '-0.25', '-0.42', '+0.11', '-0.13', '+0.00', '+0.00']
['+0.08', '+0.25', '-0.32', '-0.34', '-0.03', '-0.13', '+0.00', '+0.00']
['+0.02', '+0.16', '-0.24', '-0.28', '-0.13', '-0.06', '+0.00', '+0.00']
['-0.02', '+0.08', '-0.12', '-0.22', '-0.17', '+0.01', '+0.00', '+0.00']
['-0.03', '+0.03', '-0.01', '-0.17', '-0.13', '+0.05', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.05', '-0.01', '+0.03', '+0.03', '+1.00', '+1.00']
['-0.01', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.92', '+0.09', '-0.42', '+0.00', '+0.05', '+0.00', '+0.00']
['+0.02', '+0.71', '+0.08', '-0.85', '+0.05', '+0.04', '+0.00', '+0.00']
['+0.03', '+0.49', '+0.04', '-0.64', '+0.06', '-0.00', '+0.00', '+0.00']
['+0.03', '+0.33', '-0.02', '-0.45', '+0.05', '-0.03', '+0.00', '+0.00']
['+0.03', '+0.21', '-0.07', '-0.34', '+0.04', '-0.03', '+0.00', '+0.00']
['+0.01', '+0.13', '-0.05', '-0.25', '+0.01', '-0.02', '+0.00', '+0.00']
['+0.01', '+0.07', '-0.04', '-0.18', '-0.00', '-0.01', '+0.00', '+0.00']
['-0.00', '+0.02', '-0.02', '-0.15', '-0.03', '-0.01', '+0.00', '+0.00']
['-0.00', '-0.00', '+0.00', '+0.04', '+0.04', '-0.12', '+1.00', '+1.00']
['-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.93', '+0.20', '-0.26', '-0.00', '-0.05', '+0.00', '+0.00']
['+0.04', '+0.77', '+0.17', '-0.80', '+0.06', '+0.07', '+0.00', '+0.00']
['+0.07', '+0.54', '+0.04', '-0.66', '+0.11', '-0.00', '+0.00', '+0.00']
['+0.07', '+0.37', '-0.03', '-0.50', '+0.09', '-0.04', '+0.00', '+0.00']
['+0.05', '+0.25', '-0.10', '-0.35', '+0.05', '-0.06', '+0.00', '+0.00']
['+0.03', '+0.16', '-0.13', '-0.25', '+0.00', '-0.06', '+0.00', '+0.00']
['+0.00', '+0.09', '-0.12', '-0.19', '-0.06', '-0.03', '+0.00', '+0.00']
['-0.02', '+0.03', '-0.05', '-0.15', '-0.08', '-0.01', '+0.00', '+0.00']
['-0.03', '-0.00', '-0.06', '-0.04', '+0.02', '+0.12', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.00', '+0.92', '-0.02', '-0.33', '+0.00', '+0.01', '+0.00', '+0.00']
['-0.01', '+0.74', '-0.02', '-0.86', '+0.01', '+0.00', '+0.00', '+0.00']
['-0.01', '+0.51', '+0.00', '-0.65', '+0.02', '+0.01', '+0.00', '+0.00']
['-0.01', '+0.34', '-0.05', '-0.46', '-0.01', '-0.04', '+0.00', '+0.00']
['-0.03', '+0.22', '-0.08', '-0.35', '-0.05', '-0.04', '+0.00', '+0.00']
['-0.04', '+0.14', '-0.03', '-0.22', '-0.07', '-0.00', '+0.00', '+0.00']
['-0.04', '+0.08', '+0.03', '-0.19', '-0.06', '+0.03', '+0.00', '+0.00']
['-0.03', '+0.03', '+0.09', '-0.15', '-0.03', '+0.05', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.07', '-0.03', '-0.02', '-0.12', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '-0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.79', '+0.29', '-0.80', '+0.07', '+0.13', '+0.00', '+0.00']
['+0.11', '+0.56', '+0.24', '-0.65', '+0.18', '+0.06', '+0.00', '+0.00']
['+0.13', '+0.39', '+0.03', '-0.44', '+0.19', '-0.02', '+0.00', '+0.00']
['+0.12', '+0.27', '-0.11', '-0.32', '+0.13', '-0.09', '+0.00', '+0.00']
['+0.09', '+0.19', '-0.18', '-0.26', '+0.05', '-0.10', '+0.00', '+0.00']
['+0.05', '+0.12', '-0.22', '-0.24', '-0.05', '-0.09', '+0.00', '+0.00']
['+0.02', '+0.06', '-0.13', '-0.18', '-0.10', '-0.04', '+0.00', '+0.00']
['-0.00', '+0.01', '-0.02', '-0.14', '-0.11', '+0.03', '+0.00', '+0.00']
['-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.00', '+0.77', '-0.02', '-0.86', '+0.00', '+0.00', '+0.00', '+0.00']
['-0.01', '+0.53', '+0.00', '-0.71', '+0.00', '-0.00', '+0.00', '+0.00']
['-0.01', '+0.35', '-0.03', '-0.51', '-0.01', '-0.04', '+0.00', '+0.00']
['-0.01', '+0.22', '+0.01', '-0.35', '+0.00', '+0.01', '+0.00', '+0.00']
['-0.01', '+0.13', '-0.02', '-0.25', '+0.00', '-0.00', '+0.00', '+0.00']
['-0.01', '+0.06', '-0.02', '-0.18', '+0.01', '-0.00', '+0.00', '+0.00']
['-0.01', '+0.02', '+0.00', '-0.14', '+0.01', '-0.00', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.10', '+0.94', '+0.55', '-0.23', '+0.07', '+0.18', '+0.00', '+0.00']
['+0.21', '+0.78', '+0.57', '-0.77', '+0.21', '+0.10', '+0.00', '+0.00']
['+0.31', '+0.58', '+0.40', '-0.58', '+0.30', '+0.08', '+0.00', '+0.00']
['+0.35', '+0.44', '+0.03', '-0.39', '+0.33', '-0.04', '+0.00', '+0.00']
['+0.33', '+0.34', '-0.19', '-0.29', '+0.23', '-0.13', '+0.00', '+0.00']
['+0.27', '+0.26', '-0.33', '-0.25', '+0.09', '-0.15', '+0.00', '+0.00']
['+0.20', '+0.19', '-0.33', '-0.20', '-0.04', '-0.10', '+0.00', '+0.00']
['+0.14', '+0.13', '-0.26', '-0.19', '-0.11', '-0.04', '+0.00', '+0.00']
['+0.09', '+0.08', '-0.19', '-0.17', '-0.15', '+0.00', '+0.00', '+0.00']
['+0.07', '+0.04', '-0.10', '-0.14', '-0.14', '+0.03', '+0.00', '+0.00']
['+0.06', '+0.01', '+0.01', '-0.06', '-0.08', '+0.25', '+1.00', '+0.00']
['+0.06', '-0.00', '+0.00', '+0.01', '+0.01', '-0.03', '+1.00', '+1.00']
['+0.06', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.06', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.04', '+0.98', '-0.26', '+0.03', '-0.05', '-0.13', '+0.00', '+0.00']
['-0.09', '+0.91', '-0.27', '-0.50', '-0.16', '-0.09', '+0.00', '+0.00']
['-0.15', '+0.69', '-0.14', '-0.76', '-0.23', '-0.00', '+0.00', '+0.00']
['-0.15', '+0.49', '+0.10', '-0.56', '-0.18', '+0.10', '+0.00', '+0.00']
['-0.11', '+0.35', '+0.18', '-0.44', '-0.08', '+0.08', '+0.00', '+0.00']
['-0.07', '+0.24', '+0.25', '-0.31', '+0.03', '+0.11', '+0.00', '+0.00']
['-0.03', '+0.15', '+0.16', '-0.26', '+0.10', '+0.03', '+0.00', '+0.00']
['+0.01', '+0.08', '+0.14', '-0.22', '+0.13', '+0.02', '+0.00', '+0.00']
['+0.02', '+0.03', '+0.01', '-0.14', '+0.12', '-0.05', '+0.00', '+0.00']
['+0.01', '-0.00', '-0.01', '+0.03', '-0.01', '-0.00', '+1.00', '+1.00']
['+0.01', '-0.00', '-0.00', '-0.00', '+0.01', '+0.00', '+1.00', '+1.00']
['+0.01', '-0.00', '+0.00', '+0.00', '+0.01', '+0.00', '+1.00', '+1.00']
['-0.04', '+0.95', '-0.45', '-0.06', '-0.01', '-0.18', '+0.00', '+0.00']
['-0.14', '+0.84', '-0.46', '-0.59', '-0.17', '-0.13', '+0.00', '+0.00']
['-0.22', '+0.63', '-0.36', '-0.71', '-0.27', '-0.08', '+0.00', '+0.00']
['-0.26', '+0.46', '-0.10', '-0.47', '-0.30', '+0.03', '+0.00', '+0.00']
['-0.26', '+0.34', '+0.13', '-0.33', '-0.23', '+0.10', '+0.00', '+0.00']
['-0.21', '+0.25', '+0.30', '-0.28', '-0.10', '+0.15', '+0.00', '+0.00']
['-0.14', '+0.18', '+0.34', '-0.25', '+0.05', '+0.13', '+0.00', '+0.00']
['-0.08', '+0.11', '+0.28', '-0.21', '+0.13', '+0.06', '+0.00', '+0.00']
['-0.04', '+0.06', '+0.15', '-0.16', '+0.17', '+0.01', '+0.00', '+0.00']
['-0.02', '+0.02', '-0.02', '-0.14', '+0.13', '-0.08', '+0.00', '+0.00']
['-0.03', '-0.00', '-0.01', '+0.03', '-0.01', '+0.10', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.88', '-0.60', '-0.48', '-0.00', '-0.19', '+0.00', '+0.00']
['-0.19', '+0.67', '-0.57', '-0.78', '-0.17', '-0.13', '+0.00', '+0.00']
['-0.28', '+0.49', '-0.33', '-0.52', '-0.27', '-0.07', '+0.00', '+0.00']
['-0.31', '+0.37', '-0.02', '-0.33', '-0.30', '+0.02', '+0.00', '+0.00']
['-0.30', '+0.28', '+0.17', '-0.23', '-0.22', '+0.09', '+0.00', '+0.00']
['-0.25', '+0.21', '+0.31', '-0.21', '-0.09', '+0.14', '+0.00', '+0.00']
['-0.18', '+0.16', '+0.33', '-0.16', '+0.04', '+0.11', '+0.00', '+0.00']
['-0.12', '+0.11', '+0.28', '-0.16', '+0.12', '+0.06', '+0.00', '+0.00']
['-0.08', '+0.06', '+0.09', '-0.13', '+0.13', '-0.04', '+0.00', '+0.00']
['-0.07', '+0.02', '+0.01', '-0.10', '+0.09', '-0.05', '+0.00', '+0.00']
['-0.07', '-0.00', '+0.03', '-0.04', '-0.02', '-0.14', '+1.00', '+1.00']
['-0.07', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.07', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.95', '+0.76', '+0.03', '-0.04', '-0.01', '+0.00', '+0.00']
['+0.20', '+0.88', '+0.72', '-0.50', '+0.13', '+0.15', '+0.00', '+0.00']
['+0.34', '+0.67', '+0.57', '-0.65', '+0.24', '+0.08', '+0.00', '+0.00']
['+0.42', '+0.51', '+0.24', '-0.45', '+0.31', '+0.04', '+0.00', '+0.00']
['+0.45', '+0.40', '+0.02', '-0.31', '+0.33', '+0.00', '+0.00', '+0.00']
['+0.43', '+0.33', '-0.19', '-0.22', '+0.26', '-0.10', '+0.00', '+0.00']
['+0.36', '+0.27', '-0.38', '-0.19', '+0.12', '-0.15', '+0.00', '+0.00']
['+0.28', '+0.21', '-0.42', '-0.16', '-0.01', '-0.14', '+0.00', '+0.00']
['+0.20', '+0.16', '-0.40', '-0.17', '-0.14', '-0.10', '+0.00', '+0.00']
['+0.13', '+0.11', '-0.29', '-0.15', '-0.20', '-0.02', '+0.00', '+0.00']
['+0.08', '+0.07', '-0.14', '-0.13', '-0.20', '+0.02', '+0.00', '+0.00']
['+0.07', '+0.03', '+0.01', '-0.10', '-0.13', '+0.08', '+0.00', '+0.00']
['+0.09', '-0.00', '+0.09', '-0.12', '+0.00', '+0.43', '+1.00', '+0.00']
['+0.09', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+0.00']
['+0.09', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+0.00']
['+0.09', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+0.00']
['+0.10', '+0.78', '+0.48', '-0.81', '+0.09', '+0.17', '+0.00', '+0.00']
['+0.19', '+0.56', '+0.37', '-0.62', '+0.22', '+0.10', '+0.00', '+0.00']
['+0.23', '+0.41', '+0.06', '-0.42', '+0.27', '-0.02', '+0.00', '+0.00']
['+0.22', '+0.30', '-0.12', '-0.29', '+0.20', '-0.10', '+0.00', '+0.00']
['+0.18', '+0.22', '-0.29', '-0.23', '+0.09', '-0.13', '+0.00', '+0.00']
['+0.12', '+0.15', '-0.27', '-0.22', '-0.02', '-0.10', '+0.00', '+0.00']
['+0.07', '+0.09', '-0.24', '-0.16', '-0.10', '-0.06', '+0.00', '+0.00']
['+0.03', '+0.05', '-0.14', '-0.16', '-0.14', '+0.00', '+0.00', '+0.00']
['+0.01', '+0.01', '-0.08', '-0.12', '-0.09', '+0.46', '+1.00', '+0.00']
['+0.01', '-0.00', '-0.01', '+0.01', '-0.00', '+0.02', '+1.00', '+1.00']
['+0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.01', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.07', '+1.01', '+0.45', '+0.14', '+0.05', '+0.18', '+0.00', '+0.00']
['+0.16', '+0.97', '+0.46', '-0.39', '+0.20', '+0.12', '+0.00', '+0.00']
['+0.25', '+0.77', '+0.44', '-0.80', '+0.29', '+0.06', '+0.00', '+0.00']
['+0.30', '+0.57', '+0.09', '-0.58', '+0.32', '-0.04', '+0.00', '+0.00']
['+0.28', '+0.43', '-0.26', '-0.40', '+0.22', '-0.14', '+0.00', '+0.00']
['+0.21', '+0.32', '-0.38', '-0.34', '+0.06', '-0.17', '+0.00', '+0.00']
['+0.13', '+0.23', '-0.42', '-0.30', '-0.11', '-0.14', '+0.00', '+0.00']
['+0.05', '+0.15', '-0.31', '-0.22', '-0.21', '-0.05', '+0.00', '+0.00']
['+0.01', '+0.08', '-0.14', '-0.20', '-0.22', '+0.03', '+0.00', '+0.00']
['+0.00', '+0.03', '+0.03', '-0.15', '-0.15', '+0.08', '+0.00', '+0.00']
['+0.02', '-0.00', '+0.10', '-0.08', '+0.03', '+0.27', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '+0.88', '+0.18', '-0.44', '+0.05', '+0.10', '+0.00', '+0.00']
['+0.07', '+0.67', '+0.17', '-0.79', '+0.13', '+0.06', '+0.00', '+0.00']
['+0.08', '+0.47', '+0.01', '-0.57', '+0.13', '-0.02', '+0.00', '+0.00']
['+0.07', '+0.33', '-0.10', '-0.44', '+0.09', '-0.06', '+0.00', '+0.00']
['+0.04', '+0.21', '-0.20', '-0.32', '+0.01', '-0.10', '+0.00', '+0.00']
['+0.00', '+0.13', '-0.15', '-0.24', '-0.07', '-0.05', '+0.00', '+0.00']
['-0.02', '+0.07', '-0.10', '-0.18', '-0.10', '-0.03', '+0.00', '+0.00']
['-0.03', '+0.02', '-0.04', '-0.14', '-0.11', '+0.02', '+0.00', '+0.00']
['-0.03', '-0.00', '-0.00', '+0.04', '+0.00', '-0.12', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.09', '+0.80', '-0.57', '-0.79', '-0.05', '-0.18', '+0.00', '+0.00']
['-0.20', '+0.57', '-0.42', '-0.67', '-0.19', '-0.11', '+0.00', '+0.00']
['-0.26', '+0.42', '-0.22', '-0.42', '-0.28', '-0.05', '+0.00', '+0.00']
['-0.28', '+0.31', '+0.06', '-0.31', '-0.26', '+0.09', '+0.00', '+0.00']
['-0.25', '+0.23', '+0.23', '-0.24', '-0.17', '+0.13', '+0.00', '+0.00']
['-0.19', '+0.17', '+0.33', '-0.18', '-0.02', '+0.15', '+0.00', '+0.00']
['-0.12', '+0.12', '+0.31', '-0.17', '+0.10', '+0.10', '+0.00', '+0.00']
['-0.06', '+0.07', '+0.27', '-0.16', '+0.17', '+0.05', '+0.00', '+0.00']
['-0.02', '+0.03', '+0.12', '-0.11', '+0.18', '-0.03', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.05', '-0.00', '-0.04', '-0.00', '+1.00', '+1.00']
['-0.00', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.00', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '+0.90', '-0.47', '-0.64', '+0.02', '-0.01', '+0.00', '+0.00']
['-0.11', '+0.66', '-0.39', '-0.76', '-0.15', '-0.13', '+0.00', '+0.00']
['-0.17', '+0.46', '-0.17', '-0.53', '-0.24', '-0.04', '+0.00', '+0.00']
['-0.19', '+0.33', '+0.00', '-0.38', '-0.22', '+0.06', '+0.00', '+0.00']
['-0.16', '+0.24', '+0.20', '-0.28', '-0.13', '+0.10', '+0.00', '+0.00']
['-0.11', '+0.16', '+0.29', '-0.23', '-0.02', '+0.12', '+0.00', '+0.00']
['-0.06', '+0.10', '+0.23', '-0.18', '+0.08', '+0.09', '+0.00', '+0.00']
['-0.01', '+0.05', '+0.19', '-0.17', '+0.14', '+0.04', '+0.00', '+0.00']
['+0.01', '+0.01', '+0.08', '-0.09', '+0.13', '-0.35', '+0.00', '+1.00']
['+0.02', '+0.00', '+0.01', '-0.00', '-0.01', '-0.00', '+1.00', '+1.00']
['+0.02', '+0.00', '+0.00', '-0.00', '-0.01', '-0.00', '+1.00', '+1.00']
['+0.02', '+0.00', '+0.00', '+0.00', '-0.01', '+0.00', '+1.00', '+1.00']
['+0.07', '+0.91', '+0.39', '-0.31', '+0.07', '+0.18', '+0.00', '+0.00']
['+0.15', '+0.74', '+0.39', '-0.81', '+0.21', '+0.12', '+0.00', '+0.00']
['+0.21', '+0.53', '+0.16', '-0.63', '+0.28', '+0.01', '+0.00', '+0.00']
['+0.21', '+0.38', '-0.13', '-0.43', '+0.22', '-0.12', '+0.00', '+0.00']
['+0.16', '+0.27', '-0.28', '-0.29', '+0.09', '-0.14', '+0.00', '+0.00']
['+0.10', '+0.19', '-0.33', '-0.25', '-0.06', '-0.12', '+0.00', '+0.00']
['+0.04', '+0.12', '-0.21', '-0.23', '-0.14', '-0.04', '+0.00', '+0.00']
['+0.02', '+0.06', '-0.04', '-0.17', '-0.14', '+0.03', '+0.00', '+0.00']
['+0.02', '+0.01', '+0.07', '-0.11', '-0.09', '+0.06', '+0.00', '+0.00']
['+0.03', '-0.00', '+0.03', '+0.04', '-0.00', '-0.14', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.96', '+0.51', '+0.04', '-0.00', '+0.14', '+0.00', '+0.00']
['+0.15', '+0.89', '+0.51', '-0.50', '+0.16', '+0.13', '+0.00', '+0.00']
['+0.25', '+0.68', '+0.47', '-0.72', '+0.27', '+0.07', '+0.00', '+0.00']
['+0.31', '+0.50', '+0.11', '-0.48', '+0.31', '-0.01', '+0.00', '+0.00']
['+0.31', '+0.38', '-0.09', '-0.35', '+0.26', '-0.08', '+0.00', '+0.00']
['+0.27', '+0.29', '-0.27', '-0.26', '+0.15', '-0.13', '+0.00', '+0.00']
['+0.21', '+0.21', '-0.32', '-0.23', '+0.03', '-0.12', '+0.00', '+0.00']
['+0.14', '+0.15', '-0.30', '-0.21', '-0.08', '-0.09', '+0.00', '+0.00']
['+0.09', '+0.10', '-0.20', '-0.15', '-0.14', '-0.02', '+0.00', '+0.00']
['+0.06', '+0.05', '-0.11', '-0.14', '-0.14', '+0.02', '+0.00', '+0.00']
['+0.05', '+0.01', '-0.03', '-0.12', '-0.11', '+0.04', '+0.00', '+0.00']
['+0.05', '-0.00', '-0.01', '+0.02', '+0.00', '-0.07', '+1.00', '+1.00']
['+0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.97', '-0.47', '-0.06', '-0.05', '-0.19', '+0.00', '+0.00']
['-0.17', '+0.86', '-0.49', '-0.59', '-0.20', '-0.12', '+0.00', '+0.00']
['-0.26', '+0.65', '-0.34', '-0.69', '-0.29', '-0.06', '+0.00', '+0.00']
